name,owner,stargazers,pullRequests,allIssues,closedIssues,primaryLanguage,createdAt
spring-boot-examples,{'login': 'ityouknow'},{'totalCount': 30380},{'totalCount': 7},{'totalCount': 108},{'totalCount': 99},{'name': 'Java'},2016-11-05T05:32:33Z
YesPlayMusic,{'login': 'qier222'},{'totalCount': 30370},{'totalCount': 283},{'totalCount': 1782},{'totalCount': 1188},{'name': 'Vue'},2020-10-09T10:04:21Z
linux-insides,{'login': '0xAX'},{'totalCount': 30351},{'totalCount': 577},{'totalCount': 185},{'totalCount': 152},{'name': 'Python'},2015-01-03T18:44:57Z
lede,{'login': 'coolsnowwolf'},{'totalCount': 30349},{'totalCount': 1988},{'totalCount': 8929},{'totalCount': 8186},{'name': 'C'},2017-09-06T07:39:03Z
CyberChef,{'login': 'gchq'},{'totalCount': 30346},{'totalCount': 476},{'totalCount': 1009},{'totalCount': 602},{'name': 'JavaScript'},2016-11-28T10:34:07Z
rufus,{'login': 'pbatard'},{'totalCount': 30338},{'totalCount': 1},{'totalCount': 2428},{'totalCount': 2420},{'name': 'C'},2011-11-19T19:12:05Z
mmdetection,{'login': 'open-mmlab'},{'totalCount': 30320},{'totalCount': 2359},{'totalCount': 8431},{'totalCount': 6732},{'name': 'Python'},2018-08-22T07:06:06Z
NeteaseCloudMusicApi,{'login': 'Binaryify'},{'totalCount': 30304},{'totalCount': 292},{'totalCount': 1337},{'totalCount': 1190},,2016-06-22T11:58:03Z
full-stack-fastapi-template,{'login': 'fastapi'},{'totalCount': 30290},{'totalCount': 376},{'totalCount': 420},{'totalCount': 257},{'name': 'TypeScript'},2019-02-23T15:08:34Z
winutil,{'login': 'ChrisTitusTech'},{'totalCount': 30177},{'totalCount': 762},{'totalCount': 1731},{'totalCount': 1542},{'name': 'PowerShell'},2022-04-28T02:25:19Z
chatbot-ui,{'login': 'mckaywrigley'},{'totalCount': 30078},{'totalCount': 281},{'totalCount': 973},{'totalCount': 814},{'name': 'TypeScript'},2023-03-11T14:53:14Z
Sortable,{'login': 'SortableJS'},{'totalCount': 30072},{'totalCount': 246},{'totalCount': 1800},{'totalCount': 1342},{'name': 'JavaScript'},2013-12-19T10:10:13Z
calculator,{'login': 'microsoft'},{'totalCount': 30062},{'totalCount': 883},{'totalCount': 1076},{'totalCount': 713},{'name': 'C++'},2019-01-28T17:55:49Z
symfony,{'login': 'symfony'},{'totalCount': 30053},{'totalCount': 23430},{'totalCount': 20743},{'totalCount': 20219},{'name': 'PHP'},2010-01-04T14:21:21Z
manim,{'login': 'ManimCommunity'},{'totalCount': 30047},{'totalCount': 1832},{'totalCount': 1594},{'totalCount': 1180},{'name': 'Python'},2020-05-19T02:37:13Z
HEAD,{'login': 'joshbuchea'},{'totalCount': 30027},{'totalCount': 86},{'totalCount': 93},{'totalCount': 73},,2016-04-20T20:05:37Z
awesome-cto,{'login': 'kuchin'},{'totalCount': 30016},{'totalCount': 12},{'totalCount': 11},{'totalCount': 9},,2016-12-16T19:22:18Z
qBittorrent,{'login': 'qbittorrent'},{'totalCount': 29984},{'totalCount': 3723},{'totalCount': 16394},{'totalCount': 13604},{'name': 'C++'},2012-02-04T09:37:46Z
layui,{'login': 'layui'},{'totalCount': 29980},{'totalCount': 534},{'totalCount': 1216},{'totalCount': 1169},{'name': 'JavaScript'},2015-09-22T08:12:03Z
refine,{'login': 'refinedev'},{'totalCount': 29957},{'totalCount': 4313},{'totalCount': 1582},{'totalCount': 1557},{'name': 'TypeScript'},2021-01-20T12:01:32Z
bulletproof-react,{'login': 'alan2207'},{'totalCount': 29949},{'totalCount': 69},{'totalCount': 107},{'totalCount': 76},{'name': 'TypeScript'},2021-05-30T14:47:16Z
webtorrent,{'login': 'webtorrent'},{'totalCount': 29949},{'totalCount': 933},{'totalCount': 1652},{'totalCount': 1586},{'name': 'JavaScript'},2013-10-15T08:16:40Z
tabby,{'login': 'TabbyML'},{'totalCount': 29949},{'totalCount': 2672},{'totalCount': 827},{'totalCount': 667},{'name': 'Rust'},2023-03-16T09:18:01Z
minikube,{'login': 'kubernetes'},{'totalCount': 29949},{'totalCount': 8406},{'totalCount': 9849},{'totalCount': 9344},{'name': 'Go'},2016-04-15T22:38:35Z
go-zero,{'login': 'zeromicro'},{'totalCount': 29945},{'totalCount': 2171},{'totalCount': 1730},{'totalCount': 1514},{'name': 'Go'},2020-08-07T15:37:57Z
dokku,{'login': 'dokku'},{'totalCount': 29944},{'totalCount': 3923},{'totalCount': 2766},{'totalCount': 2719},{'name': 'Shell'},2013-06-08T10:26:57Z
interactive-coding-challenges,{'login': 'donnemartin'},{'totalCount': 29941},{'totalCount': 176},{'totalCount': 68},{'totalCount': 32},{'name': 'Python'},2015-04-28T21:36:39Z
sharp,{'login': 'lovell'},{'totalCount': 29909},{'totalCount': 288},{'totalCount': 3899},{'totalCount': 3771},{'name': 'JavaScript'},2013-08-19T20:24:24Z
stanford_alpaca,{'login': 'tatsu-lab'},{'totalCount': 29837},{'totalCount': 6},{'totalCount': 271},{'totalCount': 98},{'name': 'Python'},2023-03-10T23:33:09Z
jsPDF,{'login': 'parallax'},{'totalCount': 29809},{'totalCount': 713},{'totalCount': 2524},{'totalCount': 2409},{'name': 'JavaScript'},2009-12-06T14:56:32Z
sequelize,{'login': 'sequelize'},{'totalCount': 29793},{'totalCount': 4840},{'totalCount': 10367},{'totalCount': 9503},{'name': 'TypeScript'},2010-07-22T07:11:11Z
vue-cli,{'login': 'vuejs'},{'totalCount': 29759},{'totalCount': 1258},{'totalCount': 5492},{'totalCount': 4558},{'name': 'JavaScript'},2015-12-26T23:11:20Z
mpv,{'login': 'mpv-player'},{'totalCount': 29751},{'totalCount': 3264},{'totalCount': 10258},{'totalCount': 9414},{'name': 'C'},2012-10-13T08:08:44Z
Real-ESRGAN,{'login': 'xinntao'},{'totalCount': 29729},{'totalCount': 21},{'totalCount': 700},{'totalCount': 169},{'name': 'Python'},2021-07-19T03:23:30Z
foundation-sites,{'login': 'foundation'},{'totalCount': 29723},{'totalCount': 2958},{'totalCount': 8229},{'totalCount': 8180},{'name': 'HTML'},2011-10-13T23:05:42Z
Reactive-Resume,{'login': 'AmruthPillai'},{'totalCount': 29679},{'totalCount': 633},{'totalCount': 1447},{'totalCount': 1238},{'name': 'TypeScript'},2020-03-25T14:08:22Z
Umi-OCR,{'login': 'hiroi-sora'},{'totalCount': 29673},{'totalCount': 45},{'totalCount': 648},{'totalCount': 475},{'name': 'Python'},2022-03-28T04:01:46Z
bubbletea,{'login': 'charmbracelet'},{'totalCount': 29671},{'totalCount': 572},{'totalCount': 327},{'totalCount': 260},{'name': 'Go'},2020-01-10T21:04:03Z
lossless-cut,{'login': 'mifi'},{'totalCount': 29670},{'totalCount': 192},{'totalCount': 1535},{'totalCount': 1359},{'name': 'TypeScript'},2016-10-30T10:49:56Z
fabric.js,{'login': 'fabricjs'},{'totalCount': 29669},{'totalCount': 2223},{'totalCount': 6130},{'totalCount': 5730},{'name': 'JavaScript'},2010-06-09T22:24:38Z
siyuan,{'login': 'siyuan-note'},{'totalCount': 29604},{'totalCount': 403},{'totalCount': 13610},{'totalCount': 13272},{'name': 'TypeScript'},2020-08-30T09:21:35Z
AI-Expert-Roadmap,{'login': 'AMAI-GmbH'},{'totalCount': 29568},{'totalCount': 13},{'totalCount': 65},{'totalCount': 46},{'name': 'JavaScript'},2020-10-24T21:49:40Z
editor.js,{'login': 'codex-team'},{'totalCount': 29565},{'totalCount': 860},{'totalCount': 1503},{'totalCount': 919},{'name': 'TypeScript'},2015-11-28T20:56:35Z
leakcanary,{'login': 'square'},{'totalCount': 29558},{'totalCount': 919},{'totalCount': 1610},{'totalCount': 1512},{'name': 'Kotlin'},2015-04-29T23:54:16Z
influxdb,{'login': 'influxdata'},{'totalCount': 29535},{'totalCount': 10266},{'totalCount': 13754},{'totalCount': 11732},{'name': 'Rust'},2013-09-26T14:31:10Z
hutool,{'login': 'chinabugotech'},{'totalCount': 29532},{'totalCount': 421},{'totalCount': 2885},{'totalCount': 2882},{'name': 'Java'},2014-04-13T07:23:51Z
project-guidelines,{'login': 'elsewhencode'},{'totalCount': 29520},{'totalCount': 114},{'totalCount': 38},{'totalCount': 29},{'name': 'JavaScript'},2017-06-30T10:17:55Z
uppy,{'login': 'transloadit'},{'totalCount': 29517},{'totalCount': 2960},{'totalCount': 2378},{'totalCount': 2235},{'name': 'TypeScript'},2015-11-16T12:32:33Z
react-boilerplate,{'login': 'react-boilerplate'},{'totalCount': 29513},{'totalCount': 715},{'totalCount': 1905},{'totalCount': 1822},{'name': 'JavaScript'},2015-02-18T14:36:32Z
kafka,{'login': 'apache'},{'totalCount': 29500},{'totalCount': 10700},{'totalCount': 0},{'totalCount': 0},{'name': 'Java'},2011-08-15T18:06:16Z
phantomjs,{'login': 'ariya'},{'totalCount': 29485},{'totalCount': 562},{'totalCount': 4745},{'totalCount': 4731},{'name': 'C++'},2010-12-27T08:18:58Z
fabric,{'login': 'danielmiessler'},{'totalCount': 29476},{'totalCount': 255},{'totalCount': 587},{'totalCount': 412},{'name': 'Go'},2024-01-03T23:18:31Z
netron,{'login': 'lutzroeder'},{'totalCount': 29437},{'totalCount': 1},{'totalCount': 1175},{'totalCount': 1154},{'name': 'JavaScript'},2010-12-26T12:53:43Z
stats,{'login': 'exelban'},{'totalCount': 29430},{'totalCount': 400},{'totalCount': 1931},{'totalCount': 1911},{'name': 'Swift'},2019-05-29T19:24:56Z
500lines,{'login': 'aosabook'},{'totalCount': 29409},{'totalCount': 175},{'totalCount': 70},{'totalCount': 39},{'name': 'JavaScript'},2013-11-04T02:02:53Z
OpenAPI-Specification,{'login': 'OAI'},{'totalCount': 29398},{'totalCount': 1255},{'totalCount': 2291},{'totalCount': 2120},{'name': 'Markdown'},2014-03-03T16:53:36Z
backstage,{'login': 'backstage'},{'totalCount': 29368},{'totalCount': 17729},{'totalCount': 6569},{'totalCount': 6224},{'name': 'TypeScript'},2020-01-24T22:39:49Z
Mr.-Ranedeer-AI-Tutor,{'login': 'JushBJJ'},{'totalCount': 29367},{'totalCount': 19},{'totalCount': 47},{'totalCount': 34},,2023-03-31T12:37:26Z
comprehensive-rust,{'login': 'google'},{'totalCount': 29364},{'totalCount': 2007},{'totalCount': 320},{'totalCount': 214},{'name': 'Rust'},2022-12-21T15:17:24Z
particles.js,{'login': 'VincentGarreau'},{'totalCount': 29341},{'totalCount': 21},{'totalCount': 407},{'totalCount': 106},{'name': 'JavaScript'},2014-09-06T14:29:47Z
roop,{'login': 's0md3v'},{'totalCount': 29340},{'totalCount': 82},{'totalCount': 0},{'totalCount': 0},{'name': 'Python'},2023-05-28T14:37:54Z
Hover,{'login': 'IanLunn'},{'totalCount': 29340},{'totalCount': 23},{'totalCount': 107},{'totalCount': 83},{'name': 'SCSS'},2014-01-02T14:27:35Z
servo,{'login': 'servo'},{'totalCount': 29336},{'totalCount': 18543},{'totalCount': 13071},{'totalCount': 9928},{'name': 'Rust'},2012-02-08T19:07:25Z
apollo,{'login': 'apolloconfig'},{'totalCount': 29333},{'totalCount': 1421},{'totalCount': 3295},{'totalCount': 3159},{'name': 'Java'},2016-03-04T10:24:23Z
tqdm,{'login': 'tqdm'},{'totalCount': 29322},{'totalCount': 287},{'totalCount': 1013},{'totalCount': 584},{'name': 'Python'},2015-06-03T13:13:14Z
GPTs,{'login': 'linexjlin'},{'totalCount': 29310},{'totalCount': 45},{'totalCount': 27},{'totalCount': 21},,2023-11-11T03:24:16Z
standard,{'login': 'standard'},{'totalCount': 29263},{'totalCount': 412},{'totalCount': 1232},{'totalCount': 1121},{'name': 'JavaScript'},2015-01-27T01:23:31Z
awesome-macos-command-line,{'login': 'herrbischoff'},{'totalCount': 29260},{'totalCount': 104},{'totalCount': 0},{'totalCount': 0},,2015-09-22T19:37:55Z
ruoyi-vue-pro,{'login': 'YunaiV'},{'totalCount': 29250},{'totalCount': 55},{'totalCount': 523},{'totalCount': 512},{'name': 'Java'},2021-01-24T03:18:25Z
es6features,{'login': 'lukehoban'},{'totalCount': 29227},{'totalCount': 41},{'totalCount': 57},{'totalCount': 36},,2014-03-03T18:29:30Z
