name,owner,stargazers,pullRequests,allIssues,closedIssues,primaryLanguage,createdAt
UTM,{'login': 'utmapp'},{'totalCount': 28235},{'totalCount': 249},{'totalCount': 3228},{'totalCount': 2352},{'name': 'Swift'},2019-04-12T16:09:24Z
react-three-fiber,{'login': 'pmndrs'},{'totalCount': 28228},{'totalCount': 632},{'totalCount': 1073},{'totalCount': 1018},{'name': 'TypeScript'},2019-02-25T14:31:51Z
async,{'login': 'caolan'},{'totalCount': 28224},{'totalCount': 554},{'totalCount': 1139},{'totalCount': 1133},{'name': 'JavaScript'},2010-06-01T21:01:30Z
puter,{'login': 'HeyPuter'},{'totalCount': 28221},{'totalCount': 476},{'totalCount': 538},{'totalCount': 382},{'name': 'JavaScript'},2024-03-03T01:44:32Z
ladybird,{'login': 'LadybirdBrowser'},{'totalCount': 28164},{'totalCount': 2612},{'totalCount': 702},{'totalCount': 361},{'name': 'C++'},2024-05-30T09:18:10Z
JavaScript30,{'login': 'wesbos'},{'totalCount': 28122},{'totalCount': 153},{'totalCount': 0},{'totalCount': 0},{'name': 'HTML'},2016-12-07T19:15:31Z
the-super-tiny-compiler,{'login': 'jamiebuilds'},{'totalCount': 28122},{'totalCount': 20},{'totalCount': 0},{'totalCount': 0},{'name': 'JavaScript'},2016-03-11T04:19:18Z
trilium,{'login': 'zadam'},{'totalCount': 28105},{'totalCount': 250},{'totalCount': 3499},{'totalCount': 2614},{'name': 'JavaScript'},2017-05-23T00:30:20Z
backbone,{'login': 'jashkenas'},{'totalCount': 28102},{'totalCount': 880},{'totalCount': 2404},{'totalCount': 2364},{'name': 'JavaScript'},2010-09-30T19:41:28Z
immer,{'login': 'immerjs'},{'totalCount': 28101},{'totalCount': 374},{'totalCount': 665},{'totalCount': 632},{'name': 'JavaScript'},2017-12-29T12:25:47Z
tinygrad,{'login': 'tinygrad'},{'totalCount': 28086},{'totalCount': 6095},{'totalCount': 863},{'totalCount': 739},{'name': 'Python'},2020-10-18T16:23:12Z
druid,{'login': 'alibaba'},{'totalCount': 28067},{'totalCount': 1453},{'totalCount': 4482},{'totalCount': 2276},{'name': 'Java'},2011-11-03T05:12:51Z
DevToys,{'login': 'DevToys-app'},{'totalCount': 28059},{'totalCount': 498},{'totalCount': 883},{'totalCount': 657},{'name': 'C#'},2021-09-29T01:40:41Z
ChatGPT,{'login': 'acheong08'},{'totalCount': 28058},{'totalCount': 294},{'totalCount': 805},{'totalCount': 794},{'name': 'Python'},2022-12-03T14:35:24Z
fish-shell,{'login': 'fish-shell'},{'totalCount': 28032},{'totalCount': 2006},{'totalCount': 7382},{'totalCount': 6956},{'name': 'Rust'},2012-05-10T03:00:55Z
tuning_playbook,{'login': 'google-research'},{'totalCount': 28031},{'totalCount': 14},{'totalCount': 43},{'totalCount': 34},,2023-01-18T23:32:32Z
cobalt,{'login': 'imputnet'},{'totalCount': 28030},{'totalCount': 201},{'totalCount': 731},{'totalCount': 598},{'name': 'Svelte'},2022-07-08T18:12:55Z
Complete-Python-3-Bootcamp,{'login': 'Pierian-Data'},{'totalCount': 28012},{'totalCount': 12},{'totalCount': 361},{'totalCount': 223},{'name': 'Jupyter Notebook'},2018-02-12T19:30:10Z
tokio,{'login': 'tokio-rs'},{'totalCount': 27988},{'totalCount': 3443},{'totalCount': 2385},{'totalCount': 2095},{'name': 'Rust'},2016-09-09T22:31:36Z
nginxconfig.io,{'login': 'digitalocean'},{'totalCount': 27979},{'totalCount': 191},{'totalCount': 238},{'totalCount': 184},{'name': 'JavaScript'},2018-01-05T14:21:14Z
filebrowser,{'login': 'filebrowser'},{'totalCount': 27939},{'totalCount': 526},{'totalCount': 2536},{'totalCount': 2449},{'name': 'Go'},2015-09-11T21:21:58Z
stb,{'login': 'nothings'},{'totalCount': 27917},{'totalCount': 285},{'totalCount': 850},{'totalCount': 687},{'name': 'C'},2014-05-25T16:51:23Z
reverse-interview,{'login': 'viraptor'},{'totalCount': 27914},{'totalCount': 75},{'totalCount': 25},{'totalCount': 18},,2019-09-08T13:38:40Z
data-science-ipython-notebooks,{'login': 'donnemartin'},{'totalCount': 27883},{'totalCount': 31},{'totalCount': 41},{'totalCount': 22},{'name': 'Python'},2015-01-23T19:38:29Z
viper,{'login': 'spf13'},{'totalCount': 27879},{'totalCount': 487},{'totalCount': 885},{'totalCount': 478},{'name': 'Go'},2014-04-02T14:33:33Z
os-tutorial,{'login': 'cfenollosa'},{'totalCount': 27858},{'totalCount': 11},{'totalCount': 176},{'totalCount': 104},{'name': 'C'},2014-09-29T08:39:34Z
mantine,{'login': 'mantinedev'},{'totalCount': 27842},{'totalCount': 1364},{'totalCount': 2949},{'totalCount': 2925},{'name': 'TypeScript'},2021-01-07T14:02:19Z
react-select,{'login': 'JedWatson'},{'totalCount': 27832},{'totalCount': 1051},{'totalCount': 3607},{'totalCount': 3247},{'name': 'TypeScript'},2014-08-26T04:27:45Z
xstate,{'login': 'statelyai'},{'totalCount': 27829},{'totalCount': 1908},{'totalCount': 1368},{'totalCount': 1272},{'name': 'TypeScript'},2015-09-14T15:04:15Z
cursor,{'login': 'getcursor'},{'totalCount': 27817},{'totalCount': 46},{'totalCount': 2470},{'totalCount': 1081},,2023-03-12T00:19:42Z
xyflow,{'login': 'xyflow'},{'totalCount': 27786},{'totalCount': 1249},{'totalCount': 2124},{'totalCount': 2015},{'name': 'TypeScript'},2019-07-15T14:47:30Z
glances,{'login': 'nicolargo'},{'totalCount': 27782},{'totalCount': 710},{'totalCount': 1981},{'totalCount': 1803},{'name': 'Python'},2011-12-04T08:49:15Z
medusa,{'login': 'medusajs'},{'totalCount': 27776},{'totalCount': 6582},{'totalCount': 2757},{'totalCount': 2673},{'name': 'TypeScript'},2020-01-18T13:39:04Z
waifu2x,{'login': 'nagadomi'},{'totalCount': 27758},{'totalCount': 68},{'totalCount': 362},{'totalCount': 209},{'name': 'Lua'},2015-05-17T07:29:15Z
Charts,{'login': 'ChartsOrg'},{'totalCount': 27742},{'totalCount': 418},{'totalCount': 4267},{'totalCount': 3383},{'name': 'Swift'},2015-03-20T10:49:12Z
aider,{'login': 'Aider-AI'},{'totalCount': 27737},{'totalCount': 184},{'totalCount': 2843},{'totalCount': 2332},{'name': 'Python'},2023-05-09T18:57:49Z
mobx,{'login': 'mobxjs'},{'totalCount': 27737},{'totalCount': 1143},{'totalCount': 1962},{'totalCount': 1911},{'name': 'TypeScript'},2015-03-14T14:31:38Z
GPT_API_free,{'login': 'chatanywhere'},{'totalCount': 27726},{'totalCount': 1},{'totalCount': 332},{'totalCount': 275},{'name': 'Python'},2023-04-23T12:42:08Z
applied-ml,{'login': 'eugeneyan'},{'totalCount': 27721},{'totalCount': 208},{'totalCount': 24},{'totalCount': 22},,2020-07-04T18:57:47Z
restic,{'login': 'restic'},{'totalCount': 27696},{'totalCount': 2126},{'totalCount': 2710},{'totalCount': 2347},{'name': 'Go'},2014-04-27T14:07:58Z
jan,{'login': 'janhq'},{'totalCount': 27680},{'totalCount': 1970},{'totalCount': 2191},{'totalCount': 2052},{'name': 'TypeScript'},2023-08-17T02:17:10Z
90DaysOfDevOps,{'login': 'MichaelCade'},{'totalCount': 27667},{'totalCount': 357},{'totalCount': 89},{'totalCount': 80},{'name': 'Shell'},2021-12-26T13:55:18Z
ink,{'login': 'vadimdemedes'},{'totalCount': 27659},{'totalCount': 213},{'totalCount': 357},{'totalCount': 290},{'name': 'TypeScript'},2017-06-12T06:12:28Z
DeepFaceLive,{'login': 'iperov'},{'totalCount': 27655},{'totalCount': 13},{'totalCount': 144},{'totalCount': 143},{'name': 'Python'},2020-12-15T12:19:22Z
diffusers,{'login': 'huggingface'},{'totalCount': 27629},{'totalCount': 4343},{'totalCount': 4530},{'totalCount': 4125},{'name': 'Python'},2022-05-30T16:04:02Z
vhr,{'login': 'lenve'},{'totalCount': 27597},{'totalCount': 1},{'totalCount': 254},{'totalCount': 96},{'name': 'Java'},2018-01-04T08:57:51Z
gitbook,{'login': 'GitbookIO'},{'totalCount': 27574},{'totalCount': 719},{'totalCount': 1866},{'totalCount': 1829},{'name': 'TypeScript'},2014-03-31T03:01:56Z
hosts,{'login': 'StevenBlack'},{'totalCount': 27535},{'totalCount': 476},{'totalCount': 2022},{'totalCount': 1944},{'name': 'Python'},2012-04-12T20:22:50Z
yapi,{'login': 'YMFE'},{'totalCount': 27503},{'totalCount': 141},{'totalCount': 2446},{'totalCount': 921},{'name': 'JavaScript'},2016-05-30T09:09:09Z
helm,{'login': 'helm'},{'totalCount': 27492},{'totalCount': 3852},{'totalCount': 7939},{'totalCount': 7557},{'name': 'Go'},2015-10-06T01:07:32Z
CLIP,{'login': 'openai'},{'totalCount': 27490},{'totalCount': 28},{'totalCount': 412},{'totalCount': 189},{'name': 'Jupyter Notebook'},2020-12-16T11:24:42Z
textual,{'login': 'Textualize'},{'totalCount': 27456},{'totalCount': 2022},{'totalCount': 2106},{'totalCount': 1938},{'name': 'Python'},2021-04-08T15:24:47Z
Daily-Interview-Question,{'login': 'Advanced-Frontend'},{'totalCount': 27454},{'totalCount': 15},{'totalCount': 560},{'totalCount': 298},{'name': 'JavaScript'},2019-01-19T10:49:00Z
ResumeSample,{'login': 'geekcompany'},{'totalCount': 27432},{'totalCount': 2},{'totalCount': 0},{'totalCount': 0},,2014-09-08T08:08:13Z
vnpy,{'login': 'vnpy'},{'totalCount': 27427},{'totalCount': 1043},{'totalCount': 2076},{'totalCount': 2070},{'name': 'Python'},2015-03-02T03:36:58Z
python-fire,{'login': 'google'},{'totalCount': 27418},{'totalCount': 118},{'totalCount': 326},{'totalCount': 198},{'name': 'Python'},2017-02-21T21:35:07Z
motion,{'login': 'motiondivision'},{'totalCount': 27394},{'totalCount': 971},{'totalCount': 1746},{'totalCount': 1499},{'name': 'TypeScript'},2018-11-16T09:48:38Z
underscore,{'login': 'jashkenas'},{'totalCount': 27378},{'totalCount': 746},{'totalCount': 1424},{'totalCount': 1394},{'name': 'JavaScript'},2009-10-25T18:31:06Z
Python-programming-exercises,{'login': 'zhiwehu'},{'totalCount': 27316},{'totalCount': 0},{'totalCount': 85},{'totalCount': 17},,2012-06-14T07:56:46Z
Xray-core,{'login': 'XTLS'},{'totalCount': 27300},{'totalCount': 851},{'totalCount': 2363},{'totalCount': 2353},{'name': 'Go'},2020-11-09T11:23:10Z
aos,{'login': 'michalsnik'},{'totalCount': 27284},{'totalCount': 38},{'totalCount': 700},{'totalCount': 360},{'name': 'JavaScript'},2015-07-09T17:49:00Z
weui,{'login': 'Tencent'},{'totalCount': 27264},{'totalCount': 203},{'totalCount': 668},{'totalCount': 615},{'name': 'HTML'},2014-12-18T04:09:54Z
Jobs_Applier_AI_Agent_AIHawk,{'login': 'feder-cr'},{'totalCount': 27246},{'totalCount': 185},{'totalCount': 681},{'totalCount': 653},{'name': 'Python'},2024-08-04T12:15:06Z
mindsdb,{'login': 'mindsdb'},{'totalCount': 27245},{'totalCount': 4798},{'totalCount': 4105},{'totalCount': 4026},{'name': 'Python'},2018-08-02T17:56:45Z
TrackersListCollection,{'login': 'XIU2'},{'totalCount': 27230},{'totalCount': 5},{'totalCount': 0},{'totalCount': 0},,2019-10-03T15:55:07Z
Retrieval-based-Voice-Conversion-WebUI,{'login': 'RVC-Project'},{'totalCount': 27218},{'totalCount': 477},{'totalCount': 1777},{'totalCount': 1274},{'name': 'Python'},2023-03-27T09:59:10Z
dragonfly,{'login': 'dragonflydb'},{'totalCount': 27209},{'totalCount': 2741},{'totalCount': 1462},{'totalCount': 1263},{'name': 'C++'},2021-12-11T10:00:42Z
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,{'login': 'CamDavidsonPilon'},{'totalCount': 27204},{'totalCount': 243},{'totalCount': 245},{'totalCount': 90},{'name': 'Jupyter Notebook'},2013-01-14T15:46:28Z
it-tools,{'login': 'CorentinTh'},{'totalCount': 27190},{'totalCount': 489},{'totalCount': 556},{'totalCount': 190},{'name': 'Vue'},2020-04-05T11:50:24Z
ghostty,{'login': 'ghostty-org'},{'totalCount': 27186},{'totalCount': 1995},{'totalCount': 1617},{'totalCount': 1481},{'name': 'Zig'},2022-03-29T17:38:26Z
dnSpy,{'login': 'dnSpy'},{'totalCount': 27129},{'totalCount': 53},{'totalCount': 0},{'totalCount': 0},{'name': 'C#'},2015-07-01T16:05:10Z
awesome-sysadmin,{'login': 'awesome-foss'},{'totalCount': 27129},{'totalCount': 317},{'totalCount': 100},{'totalCount': 86},,2014-12-23T08:41:22Z
AdGuardHome,{'login': 'AdguardTeam'},{'totalCount': 27112},{'totalCount': 122},{'totalCount': 5561},{'totalCount': 4538},{'name': 'Go'},2016-07-06T10:31:47Z
mongoose,{'login': 'Automattic'},{'totalCount': 27108},{'totalCount': 3250},{'totalCount': 10957},{'totalCount': 10740},{'name': 'JavaScript'},2010-04-06T21:39:05Z
firecracker,{'login': 'firecracker-microvm'},{'totalCount': 27097},{'totalCount': 2918},{'totalCount': 1432},{'totalCount': 1372},{'name': 'Rust'},2017-10-19T06:18:47Z
JCSprout,{'login': 'crossoverJie'},{'totalCount': 27092},{'totalCount': 69},{'totalCount': 89},{'totalCount': 59},{'name': 'Java'},2017-12-17T09:06:50Z
Tvlist-awesome-m3u-m3u8,{'login': 'imDazui'},{'totalCount': 27063},{'totalCount': 1},{'totalCount': 70},{'totalCount': 47},,2017-02-18T03:59:25Z
commander.js,{'login': 'tj'},{'totalCount': 27063},{'totalCount': 784},{'totalCount': 1105},{'totalCount': 1100},{'name': 'JavaScript'},2011-08-14T21:33:58Z
turborepo,{'login': 'vercel'},{'totalCount': 27036},{'totalCount': 5758},{'totalCount': 1836},{'totalCount': 1707},{'name': 'Rust'},2021-10-05T17:37:11Z
Web,{'login': 'qianguyihao'},{'totalCount': 27015},{'totalCount': 0},{'totalCount': 212},{'totalCount': 152},,2017-01-03T11:44:33Z
python-telegram-bot,{'login': 'python-telegram-bot'},{'totalCount': 27003},{'totalCount': 1527},{'totalCount': 2222},{'totalCount': 2206},{'name': 'Python'},2015-07-07T15:30:39Z
tdesktop,{'login': 'telegramdesktop'},{'totalCount': 26989},{'totalCount': 1629},{'totalCount': 14696},{'totalCount': 13836},{'name': 'C++'},2014-05-02T12:36:31Z
crewAI,{'login': 'crewAIInc'},{'totalCount': 26983},{'totalCount': 572},{'totalCount': 1135},{'totalCount': 1023},{'name': 'Python'},2023-10-27T03:26:59Z
legacy-homebrew,{'login': 'Homebrew'},{'totalCount': 26961},{'totalCount': 222},{'totalCount': 17029},{'totalCount': 17029},,2009-05-20T19:38:37Z
swagger-ui,{'login': 'swagger-api'},{'totalCount': 26961},{'totalCount': 3206},{'totalCount': 5551},{'totalCount': 4389},{'name': 'JavaScript'},2011-07-15T22:56:39Z
codemirror5,{'login': 'codemirror'},{'totalCount': 26958},{'totalCount': 594},{'totalCount': 4195},{'totalCount': 3788},{'name': 'JavaScript'},2011-01-14T13:44:03Z
redash,{'login': 'getredash'},{'totalCount': 26946},{'totalCount': 3222},{'totalCount': 2534},{'totalCount': 1940},{'name': 'Python'},2013-10-28T13:19:39Z
coder2gwy,{'login': 'coder2gwy'},{'totalCount': 26904},{'totalCount': 2},{'totalCount': 155},{'totalCount': 28},,2020-12-30T14:40:50Z
wails,{'login': 'wailsapp'},{'totalCount': 26888},{'totalCount': 1377},{'totalCount': 1926},{'totalCount': 1674},{'name': 'Go'},2018-12-15T23:14:06Z
firecrawl,{'login': 'mendableai'},{'totalCount': 26879},{'totalCount': 447},{'totalCount': 479},{'totalCount': 378},{'name': 'TypeScript'},2024-04-15T21:02:29Z
ace,{'login': 'ajaxorg'},{'totalCount': 26867},{'totalCount': 1855},{'totalCount': 3127},{'totalCount': 3039},{'name': 'JavaScript'},2010-10-27T10:43:36Z
rethinkdb,{'login': 'rethinkdb'},{'totalCount': 26855},{'totalCount': 460},{'totalCount': 6392},{'totalCount': 5047},{'name': 'C++'},2012-10-30T05:37:47Z
Avalonia,{'login': 'AvaloniaUI'},{'totalCount': 26849},{'totalCount': 5098},{'totalCount': 7505},{'totalCount': 5920},{'name': 'C#'},2013-12-05T20:13:21Z
kit,{'login': 'go-kit'},{'totalCount': 26829},{'totalCount': 479},{'totalCount': 567},{'totalCount': 527},{'name': 'Go'},2015-02-03T00:01:19Z
angular-cli,{'login': 'angular'},{'totalCount': 26829},{'totalCount': 11062},{'totalCount': 15793},{'totalCount': 15514},{'name': 'TypeScript'},2015-06-04T19:49:37Z
headlessui,{'login': 'tailwindlabs'},{'totalCount': 26824},{'totalCount': 590},{'totalCount': 1346},{'totalCount': 1254},{'name': 'TypeScript'},2020-09-16T09:53:09Z
mongo,{'login': 'mongodb'},{'totalCount': 26811},{'totalCount': 125},{'totalCount': 0},{'totalCount': 0},{'name': 'C++'},2009-01-15T16:15:18Z
rust-course,{'login': 'sunface'},{'totalCount': 26807},{'totalCount': 749},{'totalCount': 206},{'totalCount': 148},{'name': 'Rust'},2018-08-07T05:01:21Z
k6,{'login': 'grafana'},{'totalCount': 26800},{'totalCount': 1921},{'totalCount': 2218},{'totalCount': 1525},{'name': 'Go'},2016-03-21T15:30:24Z
Faker,{'login': 'fzaninotto'},{'totalCount': 26795},{'totalCount': 823},{'totalCount': 570},{'totalCount': 494},{'name': 'PHP'},2011-10-14T22:49:02Z
vue-vben-admin,{'login': 'vbenjs'},{'totalCount': 26792},{'totalCount': 1424},{'totalCount': 3105},{'totalCount': 3038},{'name': 'Vue'},2020-07-11T02:29:21Z
anoma,{'login': 'anoma'},{'totalCount': 26770},{'totalCount': 720},{'totalCount': 627},{'totalCount': 513},{'name': 'Elixir'},2021-02-02T10:00:16Z
taichi,{'login': 'taichi-dev'},{'totalCount': 26769},{'totalCount': 5154},{'totalCount': 2680},{'totalCount': 1867},{'name': 'C++'},2016-11-24T10:00:05Z
gitflow,{'login': 'nvie'},{'totalCount': 26759},{'totalCount': 36},{'totalCount': 364},{'totalCount': 126},{'name': 'Shell'},2010-01-20T23:14:12Z
hangzhou_house_knowledge,{'login': 'houshanren'},{'totalCount': 26742},{'totalCount': 6},{'totalCount': 148},{'totalCount': 49},{'name': 'CSS'},2018-02-24T01:54:18Z
openssl,{'login': 'openssl'},{'totalCount': 26741},{'totalCount': 144},{'totalCount': 10314},{'totalCount': 8686},{'name': 'C'},2013-01-15T22:34:48Z
data-engineer-handbook,{'login': 'DataExpert-io'},{'totalCount': 26680},{'totalCount': 140},{'totalCount': 44},{'totalCount': 35},{'name': 'Jupyter Notebook'},2023-11-19T19:47:41Z
fastai,{'login': 'fastai'},{'totalCount': 26658},{'totalCount': 1683},{'totalCount': 1807},{'totalCount': 1594},{'name': 'Jupyter Notebook'},2017-09-09T17:43:36Z
duckdb,{'login': 'duckdb'},{'totalCount': 26657},{'totalCount': 7120},{'totalCount': 5562},{'totalCount': 5252},{'name': 'C++'},2018-06-26T15:04:45Z
xgboost,{'login': 'dmlc'},{'totalCount': 26620},{'totalCount': 4685},{'totalCount': 5402},{'totalCount': 5025},{'name': 'C++'},2014-02-06T17:28:03Z
react-virtualized,{'login': 'bvaughn'},{'totalCount': 26613},{'totalCount': 454},{'totalCount': 1217},{'totalCount': 1214},{'name': 'JavaScript'},2015-11-03T00:48:07Z
so-vits-svc,{'login': 'svc-develop-team'},{'totalCount': 26581},{'totalCount': 153},{'totalCount': 129},{'totalCount': 108},{'name': 'Python'},2023-03-10T09:31:09Z
Rectangle,{'login': 'rxhanson'},{'totalCount': 26515},{'totalCount': 252},{'totalCount': 665},{'totalCount': 570},{'name': 'Swift'},2019-06-21T21:34:53Z
vagrant,{'login': 'hashicorp'},{'totalCount': 26493},{'totalCount': 2712},{'totalCount': 9563},{'totalCount': 8887},{'name': 'Ruby'},2010-01-21T08:34:27Z
30-Days-Of-React,{'login': 'Asabeneh'},{'totalCount': 26479},{'totalCount': 10},{'totalCount': 76},{'totalCount': 18},{'name': 'JavaScript'},2020-09-29T13:38:54Z
nodemon,{'login': 'remy'},{'totalCount': 26459},{'totalCount': 308},{'totalCount': 1672},{'totalCount': 1670},{'name': 'JavaScript'},2010-10-03T12:50:52Z
cascadia-code,{'login': 'microsoft'},{'totalCount': 26454},{'totalCount': 84},{'totalCount': 638},{'totalCount': 496},{'name': 'Python'},2019-07-10T22:50:20Z
drizzle-orm,{'login': 'drizzle-team'},{'totalCount': 26440},{'totalCount': 565},{'totalCount': 2675},{'totalCount': 1564},{'name': 'TypeScript'},2021-06-24T09:03:05Z
vscodium,{'login': 'VSCodium'},{'totalCount': 26413},{'totalCount': 486},{'totalCount': 1381},{'totalCount': 1262},{'name': 'Shell'},2018-08-13T14:26:58Z
create-t3-app,{'login': 't3-oss'},{'totalCount': 26409},{'totalCount': 1087},{'totalCount': 706},{'totalCount': 647},{'name': 'TypeScript'},2022-05-24T13:31:01Z
srs,{'login': 'ossrs'},{'totalCount': 26406},{'totalCount': 465},{'totalCount': 1461},{'totalCount': 1259},{'name': 'C++'},2015-04-29T06:59:32Z
spleeter,{'login': 'deezer'},{'totalCount': 26403},{'totalCount': 51},{'totalCount': 784},{'totalCount': 561},{'name': 'Python'},2019-09-26T15:40:46Z
kitty,{'login': 'kovidgoyal'},{'totalCount': 26383},{'totalCount': 1079},{'totalCount': 5895},{'totalCount': 5881},{'name': 'Python'},2016-10-16T14:48:28Z
GoodbyeDPI,{'login': 'ValdikSS'},{'totalCount': 26377},{'totalCount': 24},{'totalCount': 694},{'totalCount': 566},{'name': 'C'},2017-05-16T18:48:52Z
the_silver_searcher,{'login': 'ggreer'},{'totalCount': 26364},{'totalCount': 399},{'totalCount': 849},{'totalCount': 412},{'name': 'C'},2011-11-19T19:50:47Z
khoj,{'login': 'khoj-ai'},{'totalCount': 26358},{'totalCount': 446},{'totalCount': 517},{'totalCount': 449},{'name': 'Python'},2021-08-16T01:48:44Z
Detectron,{'login': 'facebookresearch'},{'totalCount': 26302},{'totalCount': 0},{'totalCount': 926},{'totalCount': 620},{'name': 'Python'},2017-10-05T17:32:00Z
MinerU,{'login': 'opendatalab'},{'totalCount': 26295},{'totalCount': 596},{'totalCount': 1001},{'totalCount': 935},{'name': 'Python'},2024-02-29T08:52:34Z
quasar,{'login': 'quasarframework'},{'totalCount': 26291},{'totalCount': 3633},{'totalCount': 7909},{'totalCount': 7398},{'name': 'JavaScript'},2015-10-05T15:45:36Z
miaosha,{'login': 'qiurunze123'},{'totalCount': 26257},{'totalCount': 20},{'totalCount': 82},{'totalCount': 80},{'name': 'Java'},2018-09-14T04:36:24Z
nprogress,{'login': 'rstacruz'},{'totalCount': 26248},{'totalCount': 34},{'totalCount': 155},{'totalCount': 52},{'name': 'JavaScript'},2013-08-20T13:58:02Z
ChatDev,{'login': 'OpenBMB'},{'totalCount': 26228},{'totalCount': 110},{'totalCount': 270},{'totalCount': 246},{'name': 'Python'},2023-08-28T02:18:13Z
cmder,{'login': 'cmderdev'},{'totalCount': 26193},{'totalCount': 430},{'totalCount': 2281},{'totalCount': 2227},{'name': 'C++'},2013-07-09T07:44:22Z
emscripten,{'login': 'emscripten-core'},{'totalCount': 26192},{'totalCount': 11565},{'totalCount': 9532},{'totalCount': 7678},{'name': 'C++'},2011-02-12T05:23:30Z
awesome-electron,{'login': 'sindresorhus'},{'totalCount': 26133},{'totalCount': 268},{'totalCount': 44},{'totalCount': 42},,2015-04-23T11:48:53Z
Signal-Android,{'login': 'signalapp'},{'totalCount': 26128},{'totalCount': 238},{'totalCount': 11000},{'totalCount': 10611},{'name': 'Kotlin'},2011-12-15T20:01:12Z
jumpserver,{'login': 'jumpserver'},{'totalCount': 26115},{'totalCount': 7013},{'totalCount': 6935},{'totalCount': 6898},{'name': 'Python'},2014-07-04T03:54:59Z
nginx,{'login': 'nginx'},{'totalCount': 26079},{'totalCount': 56},{'totalCount': 208},{'totalCount': 93},{'name': 'C'},2015-06-23T10:26:27Z
fastText,{'login': 'facebookresearch'},{'totalCount': 26076},{'totalCount': 12},{'totalCount': 1077},{'totalCount': 611},{'name': 'HTML'},2016-07-16T13:38:42Z
ExplorerPatcher,{'login': 'valinet'},{'totalCount': 26071},{'totalCount': 15},{'totalCount': 2287},{'totalCount': 2055},{'name': 'C'},2021-08-09T14:17:24Z
lottie-ios,{'login': 'airbnb'},{'totalCount': 26052},{'totalCount': 719},{'totalCount': 1444},{'totalCount': 1417},{'name': 'Swift'},2016-10-06T22:38:38Z
next-auth,{'login': 'nextauthjs'},{'totalCount': 26038},{'totalCount': 2177},{'totalCount': 4796},{'totalCount': 4482},{'name': 'TypeScript'},2018-01-27T12:28:16Z
darknet,{'login': 'pjreddie'},{'totalCount': 26032},{'totalCount': 10},{'totalCount': 2373},{'totalCount': 561},{'name': 'C'},2014-04-11T07:59:16Z
awesome-vscode,{'login': 'viatsko'},{'totalCount': 26014},{'totalCount': 243},{'totalCount': 50},{'totalCount': 26},{'name': 'JavaScript'},2016-02-07T23:02:45Z
hacker-laws,{'login': 'dwmkerr'},{'totalCount': 25958},{'totalCount': 180},{'totalCount': 210},{'totalCount': 71},{'name': 'Shell'},2018-01-25T03:46:34Z
ItChat,{'login': 'littlecodersh'},{'totalCount': 25954},{'totalCount': 29},{'totalCount': 905},{'totalCount': 623},{'name': 'Python'},2016-01-19T07:49:48Z
select2,{'login': 'select2'},{'totalCount': 25953},{'totalCount': 713},{'totalCount': 4825},{'totalCount': 4718},{'name': 'JavaScript'},2012-03-04T18:43:12Z
go-patterns,{'login': 'tmrts'},{'totalCount': 25931},{'totalCount': 10},{'totalCount': 30},{'totalCount': 13},{'name': 'Go'},2015-12-14T22:05:06Z
DeepSpeech,{'login': 'mozilla'},{'totalCount': 25908},{'totalCount': 1338},{'totalCount': 2112},{'totalCount': 1986},{'name': 'C++'},2016-06-02T15:04:53Z
fonts,{'login': 'powerline'},{'totalCount': 25899},{'totalCount': 75},{'totalCount': 253},{'totalCount': 98},{'name': 'Shell'},2012-12-19T13:31:50Z
table,{'login': 'TanStack'},{'totalCount': 25848},{'totalCount': 960},{'totalCount': 2469},{'totalCount': 2273},{'name': 'TypeScript'},2016-10-20T17:25:08Z
everyone-can-use-english,{'login': 'ZuodaoTech'},{'totalCount': 25831},{'totalCount': 455},{'totalCount': 430},{'totalCount': 370},{'name': 'TypeScript'},2019-03-15T16:33:53Z
refined-github,{'login': 'refined-github'},{'totalCount': 25822},{'totalCount': 3315},{'totalCount': 4323},{'totalCount': 4209},{'name': 'TypeScript'},2016-02-15T16:45:02Z
setup-ipsec-vpn,{'login': 'hwdsl2'},{'totalCount': 25812},{'totalCount': 44},{'totalCount': 1482},{'totalCount': 1482},{'name': 'Shell'},2016-01-07T16:44:12Z
Telegram,{'login': 'DrKLO'},{'totalCount': 25811},{'totalCount': 20},{'totalCount': 0},{'totalCount': 0},{'name': 'Java'},2013-10-25T14:08:10Z
fyne,{'login': 'fyne-io'},{'totalCount': 25809},{'totalCount': 1872},{'totalCount': 2988},{'totalCount': 2325},{'name': 'Go'},2018-02-04T22:07:16Z
awesome-datascience,{'login': 'academic'},{'totalCount': 25781},{'totalCount': 364},{'totalCount': 60},{'totalCount': 59},,2014-07-05T07:07:43Z
fastjson,{'login': 'alibaba'},{'totalCount': 25777},{'totalCount': 418},{'totalCount': 3630},{'totalCount': 1695},{'name': 'Java'},2011-11-03T06:58:52Z
fetch,{'login': 'JakeChampion'},{'totalCount': 25766},{'totalCount': 197},{'totalCount': 655},{'totalCount': 647},{'name': 'JavaScript'},2014-10-13T00:26:19Z
iced,{'login': 'iced-rs'},{'totalCount': 25753},{'totalCount': 978},{'totalCount': 1157},{'totalCount': 862},{'name': 'Rust'},2019-07-15T22:34:46Z
