name,owner,url,pullRequests
build-your-own-x,{'login': 'codecrafters-io'},https://github.com/codecrafters-io/build-your-own-x,{'totalCount': 281}
coding-interview-university,{'login': 'jwasham'},https://github.com/jwasham/coding-interview-university,{'totalCount': 1006}
awesome-python,{'login': 'vinta'},https://github.com/vinta/awesome-python,{'totalCount': 1548}
system-design-primer,{'login': 'donnemartin'},https://github.com/donnemartin/system-design-primer,{'totalCount': 329}
996.ICU,{'login': '996icu'},https://github.com/996icu/996.ICU,{'totalCount': 1983}
awesome,{'login': 'sindresorhus'},https://github.com/sindresorhus/awesome,{'totalCount': 2075}
project-based-learning,{'login': 'practical-tutorials'},https://github.com/practical-tutorials/project-based-learning,{'totalCount': 355}
public-apis,{'login': 'public-apis'},https://github.com/public-apis/public-apis,{'totalCount': 2966}
awesome-selfhosted,{'login': 'awesome-selfhosted'},https://github.com/awesome-selfhosted/awesome-selfhosted,{'totalCount': 3037}
javascript-algorithms,{'login': 'trekhleb'},https://github.com/trekhleb/javascript-algorithms,{'totalCount': 545}
